model,input_per_1m,cached_input_per_1m,output_per_1m,source,fetched_at_utc
chatgpt-4o-latest,5.0,0.0,15.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
codex-mini-latest,1.5,0.375,6.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-3.5-turbo,3.0,1.5,6.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-3.5-turbo-0125,3.0,0.0,6.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-3.5-turbo-0613,3.0,0.0,6.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-3.5-turbo-1106,3.0,0.0,6.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-4-0613,30.0,0.0,60.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-4.1,3.0,0.75,12.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-4.1-mini,0.7999999999999999,0.19999999999999998,3.1999999999999997,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-4.1-nano,0.19999999999999998,0.049999999999999996,0.7999999999999999,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-4o,3.75,1.875,15.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:gpt-4o-mini,0.3,0.15,1.2,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
ft:o4-mini,4.0,1.0,16.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-3.5-turbo,0.5,0.0,1.5,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-3.5-turbo-0125,0.5,0.0,1.5,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-3.5-turbo-1106,1.0,0.0,2.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-3.5-turbo-16k,3.0,0.0,4.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
